Dusty Bunny Boutique	Dusty Bunnies	Other	['Monday, August 26th, 2019, 12 PM – 4 PM <--> Tuesday, August 27th, 2019, 12 PM – 4 PM <--> Wednesday, August 28th, 2019, 12 PM – 4 PM <--> Thursday, August 29th, 2019, 12 PM – 4 PM ']	Need to show your BRC fashion sense or just need some new threads? We have plenty of fun and funky clothes! Come have some giggles with us and build your unique Playa outfit.
Krafting Tent- A Crafter's Delight!	Kostume Kult	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 5 PM <--> Tuesday, August 27th, 2019, 12 PM – 5 PM <--> Wednesday, August 28th, 2019, 12 PM – 5 PM <--> Thursday, August 29th, 2019, 12 PM – 5 PM <--> Friday, August 30th, 2019, 12 PM – 5 PM ']	We are gifting all the things. Horns, harnesses, tutus, pasties, t-shirt slicing. Come have your wildest crafting dreams come true as we unleash a weeks worth of crafting. All Materials provided.
Kostume Station and Runway Show	Kostume Kult	Other	['Monday, August 26th, 2019, 12 PM – 5 PM <--> Tuesday, August 27th, 2019, 12 PM – 5 PM <--> Wednesday, August 28th, 2019, 12 PM – 5 PM <--> Thursday, August 29th, 2019, 12 PM – 5 PM <--> Friday, August 30th, 2019, 12 PM – 5 PM ']	Are you under costumed? Kostume Kult can help you radically self express yourself and look your burner best! Get a free costume transformation at our Kostume Station. Find the costume that speaks to you, put it on and walk the runway to show of your new fashion statement. Burners of any age and size are welcome. We have tons costumes from all around the world that you are going to love. The costumes are for you to keep forever and remember us fondly.
Preservation Lounge	Preservation Society	Other	['Monday, August 26th, 2019, 12 PM – 12 AM <--> Tuesday, August 27th, 2019, 12 PM – 12 AM <--> Wednesday, August 28th, 2019, 12 PM – 12 AM <--> Thursday, August 29th, 2019, 12 PM – 12 AM <--> Friday, August 30th, 2019, 12 PM – 12 AM <--> Saturday, August 31st, 2019, 12 PM – 12 AM ']	Swing by and chill. We've got shade, comfy sofas, pickles, picklebacks and other refreshing drinks.
Naughty Carnival Games	Illuminaughty	Game	['Monday, August 26th, 2019, 12 PM – 12 AM <--> Tuesday, August 27th, 2019, 12 PM – 12 AM <--> Wednesday, August 28th, 2019, 12 PM – 12 AM <--> Thursday, August 29th, 2019, 12 PM – 12 AM <--> Friday, August 30th, 2019, 12 PM – 12 AM ']	Join us for classic carnival games with a carnal twist... you may just have a naughty prize in store. Step right up and show us what you got!
Free Blowjobs!	Destiny Lounge 3D	Game	['Monday, August 26th, 2019, 12 PM – 5 PM <--> Tuesday, August 27th, 2019, 12 PM – 5 PM <--> Wednesday, August 28th, 2019, 12 PM – 5 PM <--> Thursday, August 29th, 2019, 12 PM – 5 PM <--> Friday, August 30th, 2019, 12 PM – 5 PM <--> Saturday, August 31st, 2019, 12 PM – 5 PM ']	http://www.facebook.com/groups/destinylounge
Brunchtime Pork Buns (also Egg Custard & Red Bean)	Bao Village	Food	['Monday, August 26th, 2019, 12 PM – 2 PM <--> Tuesday, August 27th, 2019, 12 PM – 2 PM <--> Wednesday, August 28th, 2019, 12 PM – 2 PM <--> Thursday, August 29th, 2019, 12 PM – 2 PM <--> Friday, August 30th, 2019, 12 PM – 2 PM ']	Fill your belly with our fresh and delicious steamed-to-order bao (Chinese dim sum buns), served up twice a day, every day, at noon and midnight. Dance on our pole to skip the line! We bring the Bao, you bring the Chicka Wow Wow.
Glory Hole Henna	Village-ish	Kid-friendly	['Monday, August 26th, 2019, 12 PM – 3 PM <--> Tuesday, August 27th, 2019, 12 PM – 3 PM <--> Wednesday, August 28th, 2019, 12 PM – 3 PM <--> Thursday, August 29th, 2019, 12 PM – 3 PM <--> Friday, August 30th, 2019, 12 PM – 3 PM ']	Stick an appendage through our glory hole, get henna. Maybe you get the amazing Henna Jes, maybe you don't.
OFFICIAL COMPLAINT	Insomnia	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 12 AM <--> Tuesday, August 27th, 2019, 12 PM – 12 AM <--> Wednesday, August 28th, 2019, 12 PM – 12 AM <--> Thursday, August 29th, 2019, 12 PM – 12 AM <--> Friday, August 30th, 2019, 12 PM – 12 AM <--> Saturday, August 31st, 2019, 12 PM – 12 AM ']	insomniacamp@gmail.com
Murder Ballad Monday	Flaming Ugly Cowboy Saloon	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 6 PM ']	Join us for an afternoon drinking cold handcrafted beer, quality cocktails, ands lot of of hootin’, hollerin’, and hearin’ good songs about bad people.
Tattoo Time	Pam's Parlor	Kid-friendly	['Monday, August 26th, 2019, 12 PM – 6 PM <--> Tuesday, August 27th, 2019, 12 PM – 6 PM <--> Wednesday, August 28th, 2019, 12 PM – 6 PM <--> Thursday, August 29th, 2019, 12 PM – 6 PM <--> Friday, August 30th, 2019, 12 PM – 6 PM ']	Come get shiny with our custom-designed flash tattoos!
Salty Daily Dive Bar	Salty Jacks	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 4 PM <--> Tuesday, August 27th, 2019, 12 PM – 4 PM <--> Wednesday, August 28th, 2019, 12 PM – 4 PM <--> Thursday, August 29th, 2019, 12 PM – 4 PM <--> Friday, August 30th, 2019, 12 PM – 4 PM <--> Saturday, August 31st, 2019, 12 PM – 4 PM ']	slim.ellouz@gmail.com
Boats and Blessin's	Eat Your Heart Out	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 3 PM ']	Hop on my big boat and let's go for an empathetic float. Chill beach tunes and drinks to get you through a warm-hearted afternoon in our purple dome.
The Cool Mist Experience	Bad Boy's Discover Your Kinks	Care/Support	['Monday, August 26th, 2019, 12 PM – 5 PM <--> Tuesday, August 27th, 2019, 12 PM – 5 PM <--> Wednesday, August 28th, 2019, 12 PM – 5 PM <--> Thursday, August 29th, 2019, 12 PM – 5 PM <--> Friday, August 30th, 2019, 12 PM – 5 PM <--> Saturday, August 31st, 2019, 12 PM – 5 PM <--> Sunday, September 1st, 2019, 12 PM – 5 PM <--> Monday, September 2nd, 2019, 12 PM – 5 PM ']	Come visit our popular automated misting booth experience with delightful surprises. Daily when weather is hot/calm.
BAIT (Burn Area Imprecise Transit)	Look for signs along 3:00, 4:30, 7:30, 9:00, with stops at Labyrinth, Jove, Ganymede, Echo, Bacchus, Esplanade, The Man and The Temple.	Other	['Monday, August 26th, 2019, 12 PM – 9 PM <--> Tuesday, August 27th, 2019, 12 PM – 9 PM <--> Wednesday, August 28th, 2019, 12 PM – 9 PM <--> Thursday, August 29th, 2019, 12 PM – 9 PM <--> Friday, August 30th, 2019, 12 PM – 9 PM ']	https://burningman.org/event/preparation/getting-around/bait-burn-area-imprecise-transit/
Playa Players Auditions/Screen Tests	Salon Soleil	Other	['Monday, August 26th, 2019, 12 PM – 1:30 PM <--> Thursday, August 29th, 2019, 12 PM – 1:30 PM <--> Saturday, August 31st, 2019, 12 PM – 1:30 PM ']	Lights! Camera! Talent!! Open Casting Call for the Playa Players Motion Picture Company's epic all-star production, The Lone Rider of Black Rock City. Actors, singers, horses all welcome. You bring the personality. We'll provide props, makeup, coaching, and camera-ready dialogue. The completed film masterpiece will be made available to all participants post-Burn via a secure online link. Are You Ready to Be a Star? A Milestone in Cinema History. In glorious black & white.
Decentralization Talks w/ Q&A	Anahasana Village	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 6 PM <--> Tuesday, August 27th, 2019, 12 PM – 6 PM <--> Wednesday, August 28th, 2019, 12 PM – 6 PM <--> Thursday, August 29th, 2019, 12 PM – 6 PM <--> Friday, August 30th, 2019, 12 PM – 6 PM ']	http://decentral.giveth.io
Fishbowl Panels on Decentralization	Anahasana Village	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 6 PM ']	http://decentral.giveth.io
Side Bar	9:00 & D	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 12 AM <--> Tuesday, August 27th, 2019, 12 PM – 12 AM <--> Wednesday, August 28th, 2019, 12 PM – 12 AM <--> Thursday, August 29th, 2019, 12 PM – 12 AM <--> Friday, August 30th, 2019, 12 PM – 12 AM <--> Saturday, August 31st, 2019, 12 PM – 12 AM ']	Main bar too busy? Stop by the Side Bar! Located within Martini Village, come get sideways at Side Bar! If we aren't here, pour your own! Always open!
Patsy's Bar:	Patsy's Hangout	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 6 PM <--> Tuesday, August 27th, 2019, 12 PM – 6 PM <--> Wednesday, August 28th, 2019, 12 PM – 6 PM <--> Thursday, August 29th, 2019, 12 PM – 6 PM <--> Friday, August 30th, 2019, 12 PM – 6 PM ']	https://www.patsyshangout.org
Bluegrass Music Instrument Workshops	Rootpile	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 1 PM <--> Tuesday, August 27th, 2019, 12 PM – 1 PM <--> Wednesday, August 28th, 2019, 12 PM – 1 PM <--> Thursday, August 29th, 2019, 12 PM – 1 PM <--> Friday, August 30th, 2019, 12 PM – 1 PM <--> Saturday, August 31st, 2019, 12 PM – 1 PM ']	http://www.rootpile.com
Continue The Gibberish...	7:15 & D	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 2 PM <--> Tuesday, August 27th, 2019, 12 PM – 2 PM <--> Wednesday, August 28th, 2019, 12 PM – 2 PM <--> Thursday, August 29th, 2019, 12 PM – 2 PM <--> Friday, August 30th, 2019, 12 PM – 2 PM <--> Saturday, August 31st, 2019, 12 PM – 2 PM ']	It's a story built by those sitting around the microphone and most likely a couple drinks in. A participant will continue the narrative where the last person left off, and tell as much or as little of the story as they would like. The end result will be a beautiful mess.
Intro to Blockchain Discussion	Anahasana Village	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 1 PM <--> Tuesday, August 27th, 2019, 12 PM – 1 PM <--> Wednesday, August 28th, 2019, 12 PM – 1 PM <--> Thursday, August 29th, 2019, 12 PM – 1 PM <--> Friday, August 30th, 2019, 12 PM – 1 PM ']	https://decentral.giveth.io
Slow Burn Lounge	FANDANGO!	Other	['Monday, August 26th, 2019, 12 PM – 12 AM <--> Tuesday, August 27th, 2019, 12 PM – 12 AM <--> Wednesday, August 28th, 2019, 12 PM – 12 AM <--> Thursday, August 29th, 2019, 12 PM – 12 AM <--> Friday, August 30th, 2019, 12 PM – 12 AM <--> Saturday, August 31st, 2019, 12 PM – 12 AM <--> Sunday, September 1st, 2019, 12 PM – 12 AM ']	21+ come in, have a cocktail made fresh. There's shade, seating, pool, piano, music with words and a loving, sassy attitude. FANDANGO loves you drunk!
Guided Cacao Compassionate Meditation	Baggage Check'd	Ritual/Ceremony	['Monday, August 26th, 2019, 12 PM – 1 PM ']	Cacao has been used for thousands of years for medicine, ceremony and worship in various cultures and civilizations. Often described as an empathogen that opens hearts, cacao has been a nectar that many have used to connect to their higher power or enhance their meditative practice. We will be doing cacao ceremony with a guided compassionate meditation to help fully expand your heart and feeling of connection to others, yourself and the world.
Library of the Occult	Dead Hand Path	Care/Support	['Monday, August 26th, 2019, 12 PM – 6 PM <--> Tuesday, August 27th, 2019, 12 PM – 6 PM <--> Wednesday, August 28th, 2019, 12 PM – 6 PM <--> Thursday, August 29th, 2019, 12 PM – 6 PM <--> Friday, August 30th, 2019, 12 PM – 6 PM <--> Saturday, August 31st, 2019, 12 PM – 6 PM ']	Immerse yourself in the Occult's Library of rationalism, philosophy, and science.
Open Jam Session	Share Your Words Camp	Performance	['Monday, August 26th, 2019, 12 PM – 8 PM <--> Tuesday, August 27th, 2019, 12 PM – 8 PM <--> Wednesday, August 28th, 2019, 12 PM – 8 PM <--> Thursday, August 29th, 2019, 12 PM – 8 PM <--> Friday, August 30th, 2019, 12 PM – 8 PM <--> Saturday, August 31st, 2019, 12 PM – 8 PM ']	Come join our daily collaboration and help us explore the horizons of musical possibility, or just chill out in the dome and listen to what we create.
Yin/Yang Detox	Camp Contact	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 2 PM ']	Craft highly-functioning relationship skills by bridging the gaps between the masculine and feminine within you. Nature seeks balance. As we distance ourselves from the natural world and our natural selves, are we loosing touch with our internalized masculine and feminine energies? How do we allow these principles out to play in dance and in life? We'll explore these questions and more thru yoga, breathwork, and contact dance, as we attempt to find balance with our yin and yang. Some discussion followed by practicum.
Cold Beer Can Massage	SeaWEED	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 2 PM ']	Hosted by Sparkle Cock
Embodied Discovery	Camp Contact	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 1:30 PM ']	Embodied Discovery: Somatic Self-Discovery & Embodied Relating a workshop facilitated as a group dance/movement experience, which will absolutely help you land in your body, feel playful and connected to everyone around you!
Create Your Own Playa Shoulder Pal	7:15 & D	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 2 PM ']	Are you lonely? Do you need a friend who sits on your shoulder? Come create a little pal who rides with you all around the playa.
Tips for Enjoying the Playa - Even After a Crash	Saints & Sinners	Other	['Monday, August 26th, 2019, 12 PM – 1 PM ']	Imagine a 69 year old woman breaking her hip on her first day at BM, then returning after her surgery and having a blast. Playa Legend will offer A Crash Course and share tools on how to make a bad situation better.
Speak Your Heart, Speak Your Mind	Spoken Word Stage, Center Camp Cafe	Performance	['Monday, August 26th, 2019, 12 PM – 5 PM <--> Tuesday, August 27th, 2019, 12 PM – 5 PM <--> Wednesday, August 28th, 2019, 12 PM – 5 PM <--> Thursday, August 29th, 2019, 12 PM – 5 PM <--> Friday, August 30th, 2019, 12 PM – 5 PM <--> Saturday, August 31st, 2019, 12 PM – 5 PM <--> Sunday, September 1st, 2019, 12 PM – 5 PM ']	The Spoken Word Stage is a platform for you. Tell a story, recite a poem, create your reality. Original pieces only. Come sign up, or just listen.
Soothing Sparkles	Broken Compass	Food	['Monday, August 26th, 2019, 12 PM – 2 PM <--> Tuesday, August 27th, 2019, 12 PM – 2 PM <--> Wednesday, August 28th, 2019, 12 PM – 2 PM <--> Thursday, August 29th, 2019, 12 PM – 2 PM <--> Friday, August 30th, 2019, 12 PM – 2 PM ']	Has the playa wore you down? Relax in our ethereal dome. Enjoy a sparkling elixir infused with herbs to soothe and rejuvenate your nervous system!
Naked Pirate Shots Party	Gallavant	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 2 PM ']	Party with the Pirates of the Playa at Gallavant, home of our Mighty Ship, the “USS Nevada”, and our infamous ARRGH Bar, open daily from 10:00am to 10:00pm…ish, where we’ll be serving up our special “Se(a)men” and other delicious grogs. Come join us for our 2019 “Theme Parties”. The start of our Party season officially begins on Monday with our “NAKED PIRATE SHOTS” party from Noon to 2pm. Tuesday from 10am to Noon we head down the rabbit hole for our “MAD PIRATE TEA PARTY”, and from 2pm to 4pm, “BLACKBEARD’S BLACKBERRY BASH” serves up our own Blackberry grog. Wednesday from Noon to 2pm, join us for our “MAI TAI PARTY”, and from 2pm to 4pm we get to wear white with our “WHITE LINEN PARTY”. Thursday from 7am to 9am, stretch out with “MORNING NINYASA YOGA AND MIMOSA”, then from Noon to 2pm our bartender’s “booty” will be on display at our “BOOTY SHORTS PARTY”, and from 2pm to 4pm our lovely lasses will dazzle you at the “WICKED WENCHES PARTY”, and 4pm to 6pm, our “PIRATES AND MERMAIDS PARTY”. Friday from Noon to 2pm, join us for some “SUNKEN TREASURE TASTY TREATS, and from 2pm to 4pm, our “PIRATE COWBOY PARTY” shows that Pirates are just Cowboys with a different hat. Saturday from 7am to 9am start the day with “MORNING VINYASA YOGA AND SUNRISE SIPPERS”, and then from Noon to 2pm, embrace your inner Basque with our “PICON PUNCH PARTY”, and from 2pm to 4pm, our “DRAG BALL FASHION SHOW” will surely inspire ALL Kings and Queens. Finally, on Sunday from 10am to Noon, we bring an end to the party with our amazing “BLOODY MARY PARTY”! Daily, we will have morning coffee, and throughout the week we will be hosting Burlesque lessons, Pole Dancing demonstrations, Flogging demonstrations, body painting and more! We also have an awesome “Chill space” with lots of couches and shade, a Wayward Wenches Bazaar, where you can pick up that much needed item, great music, and a rowdy crew of Wenches and Pirates that are always up for the best time possible as we “Belly up to the bar
Trump ASSault	Orphan Endorphin	Ritual/Ceremony	['Monday, August 26th, 2019, 12 PM – 12 AM <--> Tuesday, August 27th, 2019, 12 PM – 12 AM <--> Wednesday, August 28th, 2019, 12 PM – 12 AM <--> Thursday, August 29th, 2019, 12 PM – 12 AM <--> Friday, August 30th, 2019, 12 PM – 12 AM <--> Saturday, August 31st, 2019, 12 PM – 12 AM <--> Sunday, September 1st, 2019, 12 PM – 12 AM ']	orphanendorphin@gmail.com
Monkey Bar	Monkey Business	Adult-oriented	['Monday, August 26th, 2019, 12 PM – 11:45 PM <--> Tuesday, August 27th, 2019, 12 PM – 11:45 PM <--> Wednesday, August 28th, 2019, 12 PM – 11:45 PM <--> Thursday, August 29th, 2019, 12 PM – 11:45 PM <--> Friday, August 30th, 2019, 12 PM – 11:45 PM <--> Saturday, August 31st, 2019, 12 PM – 11:45 PM <--> Sunday, September 1st, 2019, 12 PM – 11:45 PM ']	Enjoy our full bar featuring the finest bottom shelf liquor - Because sweet sweet liquor eases the pain
Digital Nomad Meet-Up	OKNOTOK	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 1 PM ']	Anyone who lives a digital nomad lifestyle or interested in living a digital nomad lifestyle (work anywhere, travel everywhere)
Squatch O’Hair’s Cantina	Intergalactic Sasquatch Village	Care/Support	['Monday, August 26th, 2019, 12 PM – 12 AM <--> Tuesday, August 27th, 2019, 12 PM – 12 AM <--> Wednesday, August 28th, 2019, 12 PM – 12 AM <--> Thursday, August 29th, 2019, 12 PM – 12 AM <--> Friday, August 30th, 2019, 12 PM – 12 AM <--> Saturday, August 31st, 2019, 12 PM – 12 AM <--> Sunday, September 1st, 2019, 12 PM – 12 AM ']	Serving up iced guayusa three ways. Mint-Hibiscus, Ginger-Lemongrass, Lavender-Sage. Into Spirits? Spice it up with some bourbon.
The Shocktail Lounge	Electric Sheep + Shots for Shocks	Adult-oriented	['Monday, August 26th, 2019, 12 PM – 2 PM <--> Tuesday, August 27th, 2019, 12 PM – 2 PM <--> Wednesday, August 28th, 2019, 12 PM – 2 PM <--> Thursday, August 29th, 2019, 12 PM – 2 PM <--> Friday, August 30th, 2019, 12 PM – 2 PM <--> Saturday, August 31st, 2019, 12 PM – 2 PM ']	http://fb.me/electricsheepcamp
Running with Scissors	New York Dangerous	Game	['Monday, August 26th, 2019, 12 PM – 12:30 PM <--> Wednesday, August 28th, 2019, 12 PM – 12:30 PM <--> Friday, August 30th, 2019, 12 PM – 12:30 PM ']	It's a DANGEROUS relay race because instead of passing a baton, you're passing SCISSORS. Winning team gets ice cream and bragging rights.
Socially Appropriate Burp Day	everywhere in Black Rock City	Other	['Monday, August 26th, 2019, 12 PM – 12 AM ']	What's the big deal? Burping is fun and it's free! Who gets to decide the acceptableness of burping? You do! Just for today, let all burping be considered socially appropriate. Buuuuuuuurp!!!
We want YOU to Perform.	Performance Stage	Performance	['Monday, August 26th, 2019, 12 PM – 12 AM <--> Tuesday, August 27th, 2019, 12 PM – 12 AM <--> Wednesday, August 28th, 2019, 12 PM – 12 AM <--> Thursday, August 29th, 2019, 12 PM – 12 AM <--> Friday, August 30th, 2019, 12 PM – 12 AM <--> Saturday, August 31st, 2019, 12 PM – 12 AM ']	The Center Camp Performance stage is available to walk-up performers. Must bring instruments and perform ORIGINAL pieces. No covers allowed. We provide amplification you bring your original work (music, poetry, etc..)
Shandy Beaches	Irrelephant Bird Camp	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 3 PM ']	Sea shore shandies served with bawdy sea shanties. Sing and slurp, you scoundrel.
Body Art and a Giant Rideable Pinwheel	Spooky Rooster's Tattoo Parlor	Other	['Monday, August 26th, 2019, 12 PM – 2 PM <--> Tuesday, August 27th, 2019, 12 PM – 2 PM <--> Wednesday, August 28th, 2019, 12 PM – 2 PM <--> Thursday, August 29th, 2019, 12 PM – 2 PM <--> Friday, August 30th, 2019, 12 PM – 2 PM ']	https://www.instagram.com/spookyroosters/
MSG Bloody Marys	Skrambles**!*	Food	['Monday, August 26th, 2019, 12 PM – 2 PM <--> Wednesday, August 28th, 2019, 12 PM – 2 PM <--> Thursday, August 29th, 2019, 12 PM – 2 PM <--> Saturday, August 31st, 2019, 12 PM – 2 PM ']	Don't believe bad science. MSG is awesome! And so are Bloody Marys.
BRC Passports!	Wanderlust Passport Office	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 5 PM <--> Tuesday, August 27th, 2019, 12 PM – 5 PM <--> Wednesday, August 28th, 2019, 12 PM – 5 PM <--> Thursday, August 29th, 2019, 12 PM – 5 PM <--> Friday, August 30th, 2019, 12 PM – 5 PM ']	wanderlustpassportoffice@gmail.com
Patsy's Hangout Nail Salon	Patsy's Hangout	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 6 PM ']	https://www.patsyshangout.org
Get the Funk Out at Camp Hot Mayo	Hot Mayo	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 5 PM ']	Come on over and get your Funky groove on for our day party. We will have cold beer and funky tasting Jagermeister shots to share with everybody.
Powder Room Drag Boutique	Comfort & Joy	Ritual/Ceremony	['Monday, August 26th, 2019, 12 PM – 12:15 PM <--> Tuesday, August 27th, 2019, 12 PM – 12:15 PM <--> Wednesday, August 28th, 2019, 12 PM – 12:15 PM <--> Thursday, August 29th, 2019, 12 PM – 12:15 PM <--> Friday, August 30th, 2019, 12 PM – 12:15 PM <--> Saturday, August 31st, 2019, 12 PM – 12:15 PM <--> Sunday, September 1st, 2019, 12 PM – 12:15 PM <--> Monday, September 2nd, 2019, 12 PM – 12:15 PM ']	An intimate lounge chock full of glamour. Get a new outfit, beat down your face, or just sit a spell on our rotating loveseats. Fresh inventory daily.
Centering Yoga with Tibetan Sound Bowl	Plaisance	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 2 PM ']	60 minute yoga and meditation, grounding down into the dust with Tibetan sound bowl.
Filthy Puppet Show	The Macaronis	Performance	['Monday, August 26th, 2019, 12 PM – 12:30 PM <--> Tuesday, August 27th, 2019, 12 PM – 12:30 PM <--> Wednesday, August 28th, 2019, 12 PM – 12:30 PM <--> Thursday, August 29th, 2019, 12 PM – 12:30 PM <--> Friday, August 30th, 2019, 12 PM – 12:30 PM ']	Join our Punchman and Bottler for a delightfully demented performance featuring the filthiest puppets this side of Covent Garden. Learn the true meaning of slapstick. All blowsabellas and gollumpuses are welcome!
Down & dirty for sex’n’play w/ Esinem and Nina	Polaris (w/ Camp Cyberia)	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 2 PM <--> Wednesday, August 28th, 2019, 12 PM – 2 PM <--> Friday, August 30th, 2019, 12 PM – 2 PM ']	Polaris (w/ Camp Cyberia)9:45/Jove
Aikido: The Way of Harmony	Automatic Subconscious (AutoSub)	Class/Workshop	['Monday, August 26th, 2019, 12 PM – 2 PM ']	Martial way for the development of wisdom and character. Cooperative partner practice of connectivity and conflict resolution. Natures one true universal principle of yin and yang.
Rat Trap Meet and Greet	Rat Trap	Gathering/Party	['Monday, August 26th, 2019, 12 PM – 4 PM ']	Welcome first timers and returning champions. Come on by to meet new people, reconnect with old friends and see where you will be making bad decisions.
Disco Twister	Unicorner	Game	['Monday, August 26th, 2019, 12 PM – 1 PM ']	https://www.facebook.com/groups/287035131663731/
The Flying Saucer Lounge	Astro Cats	Adult-oriented	['Monday, August 26th, 2019, 12:15 PM – 3:45 PM <--> Tuesday, August 27th, 2019, 12:15 PM – 3:45 PM <--> Wednesday, August 28th, 2019, 12:15 PM – 3:45 PM <--> Thursday, August 29th, 2019, 12:15 PM – 3:45 PM <--> Friday, August 30th, 2019, 12:15 PM – 3:45 PM <--> Saturday, August 31st, 2019, 12:15 PM – 3:45 PM ']	Has your journey through the galaxy left you parched? Looking for something refreshing to put in your meowth? Come to The Flying Saucer Lounge to sip on cosmically concocted cocktails that will make even the most feral Astro Cats purr. We have groovy music that will make you shake Uranus, an aerial rig to watch and perform catrobatics, and shade for the purrfect cat nap. Bring your own saucer.
Solar Solutions for the Beginner	Creation Nation BRC!	Class/Workshop	['Monday, August 26th, 2019, 12:30 PM – 2:30 PM ']	https://www.facebook.com/events/916294698706917/
Lady of Leisure Yoga	Yeah Man!	Class/Workshop	['Monday, August 26th, 2019, 12:30 PM – 1:30 PM ']	https://www.facebook.com/events/680571482460551/
Alchemy Game: Stir up our Highest Intentions	I Love Elephants	Ritual/Ceremony	['Monday, August 26th, 2019, 12:30 PM – 2 PM <--> Wednesday, August 28th, 2019, 12:30 PM – 2 PM ']	Moving around the Medicine Wheel of elements, we stir up transformational energy & invite our higher selves to engage with our powerful intentions. The Alchemy Game uses practical aspects of ceremony and stirs it up in extreme interaction. To begin, the Witch opens the circle by calling in the four directions, the earth and cosmos. The Witch leads a brief meditation to drop everyone into a similar frequency. Participants are invited to identify an element (earth, air, fire, water) that embodies what they are “working on at this time.” The alchemy game unfolds as the groups move around the Medicine Wheel of elements, creating together an expanding, playful expression of their Work. Finally we charge up and seal our Medicine Wheel with a Transformation Celebration in movement and sound. bio: Sherry Aliberti, a multidisciplinary artist in Bend, OR works as an architect by trade and a witchy shamanic artist by heart. Her blessings and facilitations use crystals, soundscapes and movement. She channels games for groups to play with magic and manifestation. It is a Ritual at rainbow cosmic frequency that 5d expands with each participant. --
Oil Massage	EBB & Glow Village	Care/Support	['Monday, August 26th, 2019, 12:30 PM – 2 PM <--> Tuesday, August 27th, 2019, 12:30 PM – 2 PM <--> Wednesday, August 28th, 2019, 12:30 PM – 2 PM ']	Provide oil massage service to fellow female burners :)) With Sano
Bubble Lounge Quickie Body Wash	Bubble Lounge	Care/Support	['Monday, August 26th, 2019, 1 PM – 4 PM <--> Tuesday, August 27th, 2019, 1 PM – 4 PM <--> Wednesday, August 28th, 2019, 1 PM – 4 PM <--> Thursday, August 29th, 2019, 1 PM – 4 PM <--> Friday, August 30th, 2019, 1 PM – 4 PM ']	http://bubbleloungers.com
Poly High Tea	PolyParadise	Class/Workshop	['Monday, August 26th, 2019, 1 PM – 3 PM <--> Tuesday, August 27th, 2019, 1 PM – 3 PM <--> Wednesday, August 28th, 2019, 1 PM – 3 PM <--> Thursday, August 29th, 2019, 1 PM – 3 PM <--> Friday, August 30th, 2019, 1 PM – 3 PM <--> Saturday, August 31st, 2019, 1 PM – 3 PM ']	http://www.polyparadise.com/playa-events.htm
Playa Fashion Makeovers	Camp Tsunami	Other	['Monday, August 26th, 2019, 1 PM – 3 PM <--> Tuesday, August 27th, 2019, 1 PM – 3 PM <--> Wednesday, August 28th, 2019, 1 PM – 3 PM <--> Thursday, August 29th, 2019, 1 PM – 3 PM <--> Friday, August 30th, 2019, 1 PM – 3 PM ']	We will be gifting new clothes – metamorphing you from desk jockey to Burner! You choose how to express yourself!
Espresso Martini Party!	The Organization	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 3 PM <--> Tuesday, August 27th, 2019, 1 PM – 3 PM <--> Wednesday, August 28th, 2019, 1 PM – 3 PM <--> Thursday, August 29th, 2019, 1 PM – 3 PM <--> Friday, August 30th, 2019, 1 PM – 3 PM <--> Saturday, August 31st, 2019, 1 PM – 3 PM ']	jeremy.s.spiegel@gmail.com
Ur A Fabulous Organism	U.F.O.	Care/Support	['Monday, August 26th, 2019, 1 PM – 5 PM <--> Tuesday, August 27th, 2019, 1 PM – 5 PM <--> Wednesday, August 28th, 2019, 1 PM – 5 PM <--> Thursday, August 29th, 2019, 1 PM – 5 PM ']	Feeling playa-fied? Come relax and drink chilled Rosé at spa day. Enjoy face masks, body art, massages, manicures, hair washing and other hair play. Sexy tunes to soothe the soul provided.
Show & Tell a Story	FUNnel Vision	Gathering/Party	['Monday, August 26th, 2019, 1 PM – 3 PM ']	Gather round as we share journals and stories. Spectators and participants welcome, prompts and open arms will be provided!
