#Octothorpe	5:45 and I	Come #hashtag with us
#happylovejoy	9:00 and D	
Bubbles and Boobs	2:45 and C	Bubbles: Popping, Drinkable and Flaming Bubbles & Boobs: Painting, Pasties & Motorboat Rides!
Bubbly Ever After	8:45 and A
BuddhaCamp @ the Lotus Dome	5:00 and E	BuddhaCamp will help you find your inner Buddha, and caffeinate it for all your playa adventures!
Bureau of Misinformation	9:00 and G	Nothing but the truth and booze.
Burn Pops	5:15 and H	MV support camp for Scorpion art car
Burner Buddies	4:30 and J	Drive Thru!
Burning Dreams Stage / Fire & Ice Lounge 	3:00 Portal	We bring gear for a dose of blues, experimental, rock & prog open jams
Burning Man Bike Course	3:30 and 2400	Fun and challenging bike features for all ages and abilities
Burnobo	7:15 and F	Bonobo Tribe is an adult sexual community. We support consent-focused, sex-positive, and power-aware exploration of sexuality and relationships by creating spaces that facilitate well-informed, emotionally intelligent, inclusive, and curated conversation about sex and intimacy. 
Burntown	7:30 and G	Snuff bar and Rope bridge of terror
CAMPWWIT	6:30 and D	Wait, What's In This? Wacky wanderers whirl the Wonderous WWIT Wheel of Wastedness for a surprise shot. Striving sommeliers puzzle their palates against our array of infused imbibements. Talented touchers test your tactile senses identifying objects in our mystery boxes. The boldest of the bunch brave enough to draw from the Flaming Bag of WWIT will receive a truth or dare type task.
CATWORLD	8:30 and E
COSMIQUARIUM	4:45 and 2400	Our Camps:Cosmic RecessSophistapiratesThe Frog PrincePilot FishPollen PowerMeadful ThingsJelliesPlaya MonkeysThe Rusty Swingset
Cabana Club	4:30 and A	A favorite vacation spot for the citizens of Black Rock City located on the 4:30 Portal. The Black Rock Cabana Club is an oasis of hospitality and friendship. We serve up a refreshing array of nosh and cocktails for your Afternoon Delight. Come relax in our cabanas or dance away the afternoon.
Cafe Diem	4:30 and G	Freshly ground coffee brewed in small batches and a wide variety of teas.
Cafe de la fin du Monde	8:30  and 2400
Cameltopia 	2:45 and C	Welcome to Cameltopia, your Desert Oasis. Take refuge from the sun’s heat and glare and get to know our well trained camels. You are welcome to pet them but please do not feed the animals.We are a post-apocalyptic “Route 66” gas station oasis. We beckon wanderers to cool off and rehydrate with our pure unleaded H2O. Our attendants will refuel your canteen while you browse our “Inconvenience Store”, Open Sunday to Sunday 10-6. Fun interactive experiences include discussing our dependence on water and fossil fuels. We have a camel croquet court and mister car wash.
Camera Obscura Tribe	6:30 and G	We are camp of photographers offering to weigh in on any aspect of photography
Camp Alittle	9:15 and G	We have alittle something for everyone. 😉
Camp Armageddon	3:00 and G	Bike Repair all week long, and a Thursday Alley Cat Bike Race and Sunset Disco Party
Camp Bang Bang	9:00 and I	Camp Bang Bang is an Aussie at heart camp with a global family.Adventurers and well, dare we say it, a bunch of legends welcomesyou to our playground to play, drink, dance and laugh with real people from amazing places, doing cool shit with no pretentiousness.We have awesome places to hang, chill or get wild. Guaranteed awesomeness and welcoming vibes when ever you need.
Camp Be Bothered	4:15 and D	Free shrugs
Camp Beautility	5:15 and I	Collection of artists, engineers, creators, athletes, perverts and hug machines. Meet Dorian, Grey water evaporator who runs on solar. Behold the ever-popular Exhibitionist solar shower. BYO body positivity, or we will gift you some. Award winning home brew dispensed from Keg-cycles. 
Camp Beaverton	7:45 and C	Camp Beaverton is an intentional, experimental, and experiential ABCD Burning Man community theme camp. Our goal is to provide a safe space for women on and off-Playa. We encourage education, participation, inquiry, conversation, and self-reflection. We extend our goals to the greater Black Rock community by hosting workshops and social events.
Camp Blintzkrieg	8:45 and C	Camp Blintzkrieg is a camp dedicated to serving up delicious, hot blintzes every morning
Camp Boring	4:15 and C
Camp Brewhaha	5:45 and H	coffee, bike repair, cocktails, misting tent
Camp Byus	9:15 and F	Camp Byus does Retirement this year! Will have unbiased bike repair again, a bar and a few events! Stop by and say hello!
Camp Catharsis	6:15 and G
Camp Chomp & Stomp	4:45 and C	Chomp and Stomp is a team of dream-makers and earth-shakers. In the dust of infinite possibility, we do what we do because we've got to do it. Home to engineers, architects, doctors, jewelers, writers, and other assorted passions we chuck it all into our own small-batch mythic variety of real.
Camp Contact	6:30 and E	Camp Contact is an experiential and experimental laboratory which seeks to ask the question “What is human connection?” Through the practices of Contact Improvisation, Authentic Relating, Acro Yoga, Ecstatic Dance, Meditation, and more, we seek to live a fuller, deeper life, exploring what it means to be connected with fulfillment.
Camp Cool as a Cucumber	9:15 and E	Camp Cool as a Cucumber!Air Conditioned Lounge, 69 degrees all day long serving Ice cold Cucumber martinis, still or carbonated filtered Cucumber water, Cucumber compresses for eyes, and Pickles.
Camp Corny	4:30 and B	Leap into a pile of stuffed animals and adopt your spirit animal! Put it on a stick to make a party pole and feed it dance at our daytime dance club that’s all about spreading Joy. Observation decks, trampolines, drinks, bubbles! Look for the 25-foot tall Fire-Spewing Unicorn Arches
Camp D^5	7:15 and D	Gifting of thousands of hot dogs during the week. In addition to great games like bocce ball and corn hole
Camp Daddy Issues 	6:00 and E	Daddy Issues – it’s a term often used to define “issues” related with self-image, insecurity, sexual “deviance”, non-heteronormative behavior, etc… We invite all burners to embrace any and all daddy issues and wear them proudly in our camp – to dance and laugh and play and express themselves and all their daddy issues in any way they want. We want to create a space where others feel at home exploring and being exactly who they are.
Camp Disco Fuck Yourself	7:30 and K
Camp Do Nothing	3:30 and G	35 foot upside down swing and a dome filled with foam
Camp Déjà View	2:40 and J	A large white shade structure with orange rebar caps for safety. Daily opinionated conversations about the architecture and urbanism of BRC will be held with me having the last word.
Camp Eat Me	3:45 and E	Camp eat your way through awful waffles. The waffles taste great, but what we encourage you to put on them might not be!
Camp Envy	on a tower above Center Camp	The biggest Burning Man camp NOT on the playa
Camp Frizz / Early Retirement	4:15 and A	Come retire with us! We are throwing YOUR retirement party on Wednesday and Thursday from 1-4p.m We'll be bringing all the kitsch of Florida, and plenty of sun visors, to enjoy our golden years on the playa. Tell us what you're retiring from as we celebrate your freedom! Stop by any time to check out our Magic School Bus (the Frizz), labyrinth, and wall of wisdom. 
Camp Fur	7:30 and E	It's a camp of furries.
Camp H.O.P.E.	7:45 and H	H.O.P.E. = "Helping Others Party Effectively" — This theme concept sees Camp H.O.P.E. as an oasis of respite and rejuvenation on the playa, providing restoratives such as iced coffee, meditation, music, friendship, community, ceremony, workshops, and more. All of our interactivity has a focus on connecting with and rejuvenating our burner community.
Camp Happiness	8:30 and L	Mutant Vehicle Support Camp for Glory, the dragon.
Camp Happy Hour	2:30 and D
Camp High Maintenance	8:45 and J	Mutant Vehicle Camp supporting the Bioluminescent Slug
Camp Hot Box	3:15 and 2400	steam bath
Camp Hot Mayo	4:00 and B
Camp Illuminaughty	8:45 and H
Camp Kinetic	2:15 and D	Daytime Workshops in Flow Arts, Juggling, Yoga, and Dance. Evening Fire Jams
Camp Kühloff	3:00 and H	Camp Kühloff is the shaded oasis of Black Rock City and home to the ice cold lavender towels. We are a socially and environmentally conscious theme camp that celebrates the principles of Burning Man. On the playa, our purpose is to provide fellow burners with space to 'cool off', re-hydrate, and feel welcome during the hottest part of the day. We provide an environment where EVERYONE is welcome and encouraged to hang. 
Camp Lip Bomb	7:30 and C	Lip Bomb is a female lead, naughty, post-apocalyptic theme camp committed to all things TANK GIRL! We are free spirited women and men with a desire to bring about an environment of “anything goes” party and fun. As such, our gift to the playa is to provide a fun and relatively safe wasteland oasis for those who visit to express themselves in a many manner of ways, to include wicked workshops, live music and performances. Our bar boasts ice cold beer on tap, specialty drinks, and the only camp to offer flavored VAPORIZED ALCOHOL SHOTS! Come for the day, stay all night. As Tank Girl would say, "Some thing’s going on. My life seems to be coming together, taking some real direction. This just won’t do…"
